section_number,section_type,title,content,word_count,category
3.8,subsection,Section 3.8: Shifting to Another Program,Requirements for program change: - Minimum GPA of 2.0 in current program - Letter of intent addressed to Dean - Approval from both current and receiving departments - May be required to take additional entrance examinations,36,General
3.9,subsection,Section 3.9: Load Revision,Students may add or drop subjects during: - First week of classes (100% refund for dropped subjects) - Second week of classes (75% refund) - No changes allowed after second week,31,General
3.10,subsection,Section 3.10: Enrollment Withdrawal,Complete withdrawal requires: - Clearance from all departments - Settlement of all financial obligations - Return of university property - Exit interview with guidance counselor,25,Admissions
3.11,subsection,Section 3.11: Official Dropping,Official dropping procedures: - Submit dropping form to registrar - Obtain signatures from subject teacher and dean - Settle financial obligations - Deadline: Before midterm examinations,26,General
3.12,subsection,Section 3.12: Petition of Course(s),Students may petition to take courses through: - Letter to Academic Dean - Valid academic reasons - Approval from department head - Payment of petition fees,26,Academic
3.13,subsection,Section 3.13: Substitution of Course(s),Course substitution allowed for: - Discontinued subjects - Equivalent courses from other institutions - Program curriculum changes - Must be approved by Academic Dean,24,Academic
3.14,subsection,Section 3.14: Discontinuance of Studies / Transfer Credentials,"Transfer credentials include: - Official Transcript of Records - Certificate of Transfer Credential - Certificate of Good Moral Character - Fees: ₱500 for transcript, ₱200 for certificates",27,General
4.1,subsection,Section 4.1: Schedule of Fees and Other Charges,"### Undergraduate Programs (per semester): - Tuition per unit: ₱2,800 - Miscellaneous fees: ₱18,500 - Laboratory fee: ₱3,500 (if applicable) - Internet fee: ₱1,000 - Student activity fee: ₱500 - ID replacement: ₱500 ### Graduate Programs (per semester): - Master's programs: ₱3,200 per unit - Doctoral programs: ₱3,500 per unit - Thesis fee: ₱25,000 - Comprehensive exam fee: ₱5,000",59,Financial
4.2,subsection,Section 4.2: Payment of Fees and Other Charges,"### Payment Options: 1. Full payment upon enrollment (5% discount) 2. Two installments: 60% upon enrollment, 40% before midterm 3. Three installments: 40% enrollment, 30% midterm, 30% finals 4. Promissory note (with requirements)",33,Financial
4.3,subsection,Section 4.3: Available Payment Channels,"- University cashier (cash, check, credit card) - Online banking (BPI, BDO, Metrobank) - Over-the-counter bank payments - GCash and PayMaya - Installment through credit card",26,Financial
4.4,subsection,Section 4.4: Refund,Refund Schedule: - 100% refund: withdrawal within 1 week of enrollment - 80% refund: withdrawal within 2 weeks - 60% refund: withdrawal within 3 weeks - 40% refund: withdrawal within 4 weeks - No refund after 4 weeks of classes,40,General
4.5,subsection,Section 4.5: Non-settlement of Financial or Property Accounts,Consequences of unpaid accounts: - Non-issuance of grades and certificates - Non-enrollment for succeeding semester - Withholding of transcript and diploma - Referral to collection agency for overdue accounts,29,Financial
4.6,subsection,Section 4.6: NUIS Student Ledger,Students can access financial records through: - NUIS (NU Information System) - Real-time balance updates - Payment history - Outstanding obligations - Statement of account generation,26,Student Life
Section 4,subsection,Section 4.7: Application for Promissory,Promissory Note Requirements: - Letter of request to Finance Office - Financial hardship documentation - Guarantor with stable income - Collateral or security deposit - Approval from Finance Director,29,Admissions
15.5,subsection,Section 15.5: What does AIPO do?,# Appendices ## A. Student Etiquette ## B. Primer of RA 10627: The Anti-Bullying Act ## C. Academic Programs of National University Main ## D. National University Main Office Directory,30,General
